h,median,pctl_84,pctl_16,response,model,irf,version,shock,target,impulse
33,0.0073,0.0292,-0.0127,inflation,classical_fd,0.0015,original,Main,u_bc,
34,0.0062,0.0288,-0.0132,inflation,classical_fd,9e-04,original,Main,u_bc,
35,0.0054,0.0276,-0.0139,inflation,classical_fd,3e-04,original,Main,u_bc,
36,0.0047,0.0267,-0.0147,inflation,classical_fd,-1e-04,original,Main,u_bc,
37,0.0042,0.0256,-0.0149,inflation,classical_fd,-5e-04,original,Main,u_bc,
38,0.0038,0.0246,-0.0156,inflation,classical_fd,-9e-04,original,Main,u_bc,
39,0.0034,0.0244,-0.0156,inflation,classical_fd,-0.0012,original,Main,u_bc,
40,0.003,0.0239,-0.0157,inflation,classical_fd,-0.0014,original,Main,u_bc,
1,-0.1914,-0.0739,-0.2844,productivity,classical_fd,-0.2211,original,Main,u_bc,
2,-0.1376,-0.0192,-0.2474,productivity,classical_fd,-0.1555,original,Main,u_bc,
3,-0.0202,0.1316,-0.1721,productivity,classical_fd,-0.0321,original,Main,u_bc,
4,0.0896,0.2529,-0.0879,productivity,classical_fd,0.0782,original,Main,u_bc,
5,0.1717,0.3364,-0.0139,productivity,classical_fd,0.1574,original,Main,u_bc,
6,0.2224,0.3817,0.0381,productivity,classical_fd,0.2023,original,Main,u_bc,
7,0.2378,0.3854,0.0646,productivity,classical_fd,0.2161,original,Main,u_bc,
8,0.2294,0.3748,0.0735,productivity,classical_fd,0.2054,original,Main,u_bc,
9,0.2014,0.3469,0.0569,productivity,classical_fd,0.1776,original,Main,u_bc,
10,0.1696,0.3162,0.0212,productivity,classical_fd,0.1398,original,Main,u_bc,
11,0.1327,0.2766,-0.0162,productivity,classical_fd,0.0976,original,Main,u_bc,
12,0.095,0.2449,-0.0555,productivity,classical_fd,0.0553,original,Main,u_bc,
13,0.0573,0.2167,-0.0953,productivity,classical_fd,0.0158,original,Main,u_bc,
14,0.0261,0.191,-0.1286,productivity,classical_fd,-0.0192,original,Main,u_bc,
15,-0.002,0.1642,-0.1561,productivity,classical_fd,-0.0491,original,Main,u_bc,
16,-0.0281,0.1468,-0.1829,productivity,classical_fd,-0.0739,original,Main,u_bc,
17,-0.0477,0.1333,-0.2058,productivity,classical_fd,-0.0938,original,Main,u_bc,
18,-0.0606,0.1326,-0.2283,productivity,classical_fd,-0.1096,original,Main,u_bc,
19,-0.0709,0.1308,-0.2449,productivity,classical_fd,-0.122,original,Main,u_bc,
20,-0.0793,0.1322,-0.2616,productivity,classical_fd,-0.1315,original,Main,u_bc,
21,-0.0829,0.1265,-0.2819,productivity,classical_fd,-0.1388,original,Main,u_bc,
22,-0.0852,0.1327,-0.294,productivity,classical_fd,-0.1445,original,Main,u_bc,
23,-0.0876,0.1364,-0.3136,productivity,classical_fd,-0.1489,original,Main,u_bc,
24,-0.09,0.1437,-0.328,productivity,classical_fd,-0.1524,original,Main,u_bc,
25,-0.0917,0.1455,-0.3376,productivity,classical_fd,-0.1553,original,Main,u_bc,
26,-0.0925,0.1429,-0.3478,productivity,classical_fd,-0.1576,original,Main,u_bc,
27,-0.0951,0.1431,-0.3587,productivity,classical_fd,-0.1596,original,Main,u_bc,
28,-0.0967,0.1489,-0.3606,productivity,classical_fd,-0.1614,original,Main,u_bc,
29,-0.0982,0.1538,-0.3643,productivity,classical_fd,-0.1629,original,Main,u_bc,
30,-0.1004,0.1556,-0.3725,productivity,classical_fd,-0.1643,original,Main,u_bc,
31,-0.1011,0.1621,-0.3769,productivity,classical_fd,-0.1656,original,Main,u_bc,
32,-0.104,0.1625,-0.3787,productivity,classical_fd,-0.1668,original,Main,u_bc,
33,-0.1065,0.1647,-0.3825,productivity,classical_fd,-0.1679,original,Main,u_bc,
34,-0.1081,0.1692,-0.3869,productivity,classical_fd,-0.1689,original,Main,u_bc,
35,-0.1085,0.1711,-0.393,productivity,classical_fd,-0.1699,original,Main,u_bc,
36,-0.1128,0.1732,-0.3941,productivity,classical_fd,-0.1708,original,Main,u_bc,
37,-0.1138,0.173,-0.3937,productivity,classical_fd,-0.1716,original,Main,u_bc,
38,-0.115,0.1755,-0.396,productivity,classical_fd,-0.1723,original,Main,u_bc,
39,-0.1179,0.1763,-0.4015,productivity,classical_fd,-0.1729,original,Main,u_bc,
40,-0.1223,0.1773,-0.4089,productivity,classical_fd,-0.1734,original,Main,u_bc,
1,0.1116,0.2358,-0.0388,TFP,classical_fd,0.1087,original,Main,u_bc,
2,0.2036,0.3204,0.0589,TFP,classical_fd,0.2023,original,Main,u_bc,
3,0.2378,0.3562,0.0872,TFP,classical_fd,0.2295,original,Main,u_bc,
4,0.2245,0.3372,0.0847,TFP,classical_fd,0.2085,original,Main,u_bc,
5,0.1783,0.2932,0.0506,TFP,classical_fd,0.1588,original,Main,u_bc,
6,0.1302,0.2408,0.0068,TFP,classical_fd,0.1024,original,Main,u_bc,
7,0.0792,0.2003,-0.0416,TFP,classical_fd,0.0502,original,Main,u_bc,
8,0.0426,0.1702,-0.0806,TFP,classical_fd,0.0083,original,Main,u_bc,
9,0.0177,0.1508,-0.1135,TFP,classical_fd,-0.0213,original,Main,u_bc,
10,0.0024,0.14,-0.1373,TFP,classical_fd,-0.0394,original,Main,u_bc,
11,-0.0027,0.1431,-0.1534,TFP,classical_fd,-0.0482,original,Main,u_bc,
12,-7e-04,0.1536,-0.1624,TFP,classical_fd,-0.0502,original,Main,u_bc,
13,0.0073,0.1668,-0.1668,TFP,classical_fd,-0.0481,original,Main,u_bc,
14,0.0095,0.1813,-0.1717,TFP,classical_fd,-0.0439,original,Main,u_bc,
15,0.0161,0.1956,-0.1732,TFP,classical_fd,-0.0393,original,Main,u_bc,
16,0.022,0.2053,-0.1741,TFP,classical_fd,-0.0355,original,Main,u_bc,
17,0.0287,0.2185,-0.1742,TFP,classical_fd,-0.033,original,Main,u_bc,
18,0.0327,0.228,-0.1775,TFP,classical_fd,-0.0322,original,Main,u_bc,
19,0.0345,0.2313,-0.181,TFP,classical_fd,-0.033,original,Main,u_bc,
20,0.0323,0.2285,-0.1806,TFP,classical_fd,-0.0353,original,Main,u_bc,
21,0.0315,0.2275,-0.1829,TFP,classical_fd,-0.0388,original,Main,u_bc,
22,0.0286,0.2242,-0.1879,TFP,classical_fd,-0.0431,original,Main,u_bc,
23,0.0247,0.2194,-0.1912,TFP,classical_fd,-0.0481,original,Main,u_bc,
24,0.0209,0.2129,-0.1974,TFP,classical_fd,-0.0534,original,Main,u_bc,
25,0.0149,0.2071,-0.1993,TFP,classical_fd,-0.0588,original,Main,u_bc,
26,0.0064,0.2059,-0.2085,TFP,classical_fd,-0.0642,original,Main,u_bc,
27,-0.0033,0.197,-0.2146,TFP,classical_fd,-0.0694,original,Main,u_bc,
28,-0.0112,0.1936,-0.2148,TFP,classical_fd,-0.0744,original,Main,u_bc,
29,-0.016,0.1844,-0.2232,TFP,classical_fd,-0.079,original,Main,u_bc,
30,-0.0188,0.1813,-0.2303,TFP,classical_fd,-0.0832,original,Main,u_bc,
31,-0.0215,0.1791,-0.2387,TFP,classical_fd,-0.087,original,Main,u_bc,
32,-0.0295,0.1771,-0.244,TFP,classical_fd,-0.0905,original,Main,u_bc,
33,-0.0333,0.1743,-0.2504,TFP,classical_fd,-0.0935,original,Main,u_bc,
34,-0.0394,0.1743,-0.2525,TFP,classical_fd,-0.0962,original,Main,u_bc,
35,-0.0428,0.1759,-0.2548,TFP,classical_fd,-0.0984,original,Main,u_bc,
36,-0.0486,0.1725,-0.2589,TFP,classical_fd,-0.1003,original,Main,u_bc,
37,-0.0485,0.1712,-0.2672,TFP,classical_fd,-0.1019,original,Main,u_bc,
38,-0.0512,0.1693,-0.269,TFP,classical_fd,-0.1032,original,Main,u_bc,
39,-0.055,0.1644,-0.2717,TFP,classical_fd,-0.1041,original,Main,u_bc,
40,-0.0586,0.1614,-0.2757,TFP,classical_fd,-0.1048,original,Main,u_bc,
1,,,,output,classical_fd,-0.40896940021944,bca_variables,,u_bc,Main
1,,,,investment,classical_fd,-1.21612810396605,bca_variables,,u_bc,Main
1,,,,consumption,classical_fd,-0.235003340780912,bca_variables,,u_bc,Main
1,,,,hours_worked,classical_fd,-0.395101714906243,bca_variables,,u_bc,Main
1,,,,unemployment,classical_fd,0.180319089986037,bca_variables,,u_bc,Main
1,,,,labor_share,classical_fd,0.104692234593312,bca_variables,,u_bc,Main
1,,,,interest,classical_fd,-0.0873503102173925,bca_variables,,u_bc,Main
1,,,,inflation,classical_fd,0.00907459332844851,bca_variables,,u_bc,Main
1,,,,productivity,classical_fd,-0.162555939494452,bca_variables,,u_bc,Main
1,,,,TFP,classical_fd,0.113137521730085,bca_variables,,u_bc,Main
2,,,,output,classical_fd,-0.549834182473537,bca_variables,,u_bc,Main
2,,,,investment,classical_fd,-1.96489744181528,bca_variables,,u_bc,Main
2,,,,consumption,classical_fd,-0.294093286805658,bca_variables,,u_bc,Main
2,,,,hours_worked,classical_fd,-0.52915877286046,bca_variables,,u_bc,Main
2,,,,unemployment,classical_fd,0.2833326455896,bca_variables,,u_bc,Main
2,,,,labor_share,classical_fd,0.0525563488140022,bca_variables,,u_bc,Main
2,,,,interest,classical_fd,-0.1436964843038,bca_variables,,u_bc,Main
2,,,,inflation,classical_fd,-0.0366573509640116,bca_variables,,u_bc,Main
2,,,,productivity,classical_fd,-0.076548510088775,bca_variables,,u_bc,Main
2,,,,TFP,classical_fd,0.241315365903408,bca_variables,,u_bc,Main
3,,,,output,classical_fd,-0.513258170948726,bca_variables,,u_bc,Main
3,,,,investment,classical_fd,-1.86532062795943,bca_variables,,u_bc,Main
3,,,,consumption,classical_fd,-0.289891311798232,bca_variables,,u_bc,Main
3,,,,hours_worked,classical_fd,-0.545670659188995,bca_variables,,u_bc,Main
3,,,,unemployment,classical_fd,0.311850863333713,bca_variables,,u_bc,Main
3,,,,labor_share,classical_fd,-0.0350535295897143,bca_variables,,u_bc,Main
3,,,,interest,classical_fd,-0.147269666226189,bca_variables,,u_bc,Main
3,,,,inflation,classical_fd,-0.0493162037822044,bca_variables,,u_bc,Main
3,,,,productivity,classical_fd,0.0690715220508103,bca_variables,,u_bc,Main
3,,,,TFP,classical_fd,0.302519430694862,bca_variables,,u_bc,Main
4,,,,output,classical_fd,-0.411780480852673,bca_variables,,u_bc,Main
4,,,,investment,classical_fd,-1.41076516467809,bca_variables,,u_bc,Main
4,,,,consumption,classical_fd,-0.26301433680087,bca_variables,,u_bc,Main
4,,,,hours_worked,classical_fd,-0.464795222393944,bca_variables,,u_bc,Main
4,,,,unemployment,classical_fd,0.291891872136967,bca_variables,,u_bc,Main
4,,,,labor_share,classical_fd,-0.107184059193325,bca_variables,,u_bc,Main
4,,,,interest,classical_fd,-0.140544212524979,bca_variables,,u_bc,Main
4,,,,inflation,classical_fd,-0.0445864003358782,bca_variables,,u_bc,Main
4,,,,productivity,classical_fd,0.169052926270511,bca_variables,,u_bc,Main
4,,,,TFP,classical_fd,0.285436270576371,bca_variables,,u_bc,Main
5,,,,output,classical_fd,-0.287616332385519,bca_variables,,u_bc,Main
5,,,,investment,classical_fd,-0.843351602150317,bca_variables,,u_bc,Main
5,,,,consumption,classical_fd,-0.220483139607156,bca_variables,,u_bc,Main
5,,,,hours_worked,classical_fd,-0.344305841500519,bca_variables,,u_bc,Main
5,,,,unemployment,classical_fd,0.243305918884972,bca_variables,,u_bc,Main
5,,,,labor_share,classical_fd,-0.158337190912617,bca_variables,,u_bc,Main
5,,,,interest,classical_fd,-0.127341262480036,bca_variables,,u_bc,Main
5,,,,inflation,classical_fd,-0.035450627009486,bca_variables,,u_bc,Main
5,,,,productivity,classical_fd,0.230254627416958,bca_variables,,u_bc,Main
5,,,,TFP,classical_fd,0.236802014435586,bca_variables,,u_bc,Main
6,,,,output,classical_fd,-0.160279783686798,bca_variables,,u_bc,Main
6,,,,investment,classical_fd,-0.276792733006571,bca_variables,,u_bc,Main
6,,,,consumption,classical_fd,-0.17034844828918,bca_variables,,u_bc,Main
6,,,,hours_worked,classical_fd,-0.212029903900746,bca_variables,,u_bc,Main
6,,,,unemployment,classical_fd,0.181672370967006,bca_variables,,u_bc,Main
6,,,,labor_share,classical_fd,-0.18949783445204,bca_variables,,u_bc,Main
6,,,,interest,classical_fd,-0.108165003074746,bca_variables,,u_bc,Main
6,,,,inflation,classical_fd,-0.0236116266034053,bca_variables,,u_bc,Main
6,,,,productivity,classical_fd,0.259183832970174,bca_variables,,u_bc,Main
6,,,,TFP,classical_fd,0.185887900642612,bca_variables,,u_bc,Main
7,,,,output,classical_fd,-0.0444498349307994,bca_variables,,u_bc,Main
7,,,,investment,classical_fd,0.22053197541517,bca_variables,,u_bc,Main
7,,,,consumption,classical_fd,-0.120042957388703,bca_variables,,u_bc,Main
7,,,,hours_worked,classical_fd,-0.0864102607746687,bca_variables,,u_bc,Main
7,,,,unemployment,classical_fd,0.117089317347896,bca_variables,,u_bc,Main
7,,,,labor_share,classical_fd,-0.201440551183917,bca_variables,,u_bc,Main
7,,,,interest,classical_fd,-0.0855784413617293,bca_variables,,u_bc,Main
7,,,,inflation,classical_fd,-0.0113984611018837,bca_variables,,u_bc,Main
7,,,,productivity,classical_fd,0.261501636159418,bca_variables,,u_bc,Main
7,,,,TFP,classical_fd,0.141387889081857,bca_variables,,u_bc,Main
8,,,,output,classical_fd,0.052887083307834,bca_variables,,u_bc,Main
8,,,,investment,classical_fd,0.616733585217685,bca_variables,,u_bc,Main
8,,,,consumption,classical_fd,-0.0739624960363475,bca_variables,,u_bc,Main
8,,,,hours_worked,classical_fd,0.0227467583684653,bca_variables,,u_bc,Main
8,,,,unemployment,classical_fd,0.0562828054379396,bca_variables,,u_bc,Main
8,,,,labor_share,classical_fd,-0.197133587681159,bca_variables,,u_bc,Main
8,,,,interest,classical_fd,-0.0618243342384718,bca_variables,,u_bc,Main
8,,,,inflation,classical_fd,-0.000169341356335584,bca_variables,,u_bc,Main
8,,,,productivity,classical_fd,0.244220482578351,bca_variables,,u_bc,Main
8,,,,TFP,classical_fd,0.107857687738988,bca_variables,,u_bc,Main
9,,,,output,classical_fd,0.128681261947459,bca_variables,,u_bc,Main
9,,,,investment,classical_fd,0.901824669372412,bca_variables,,u_bc,Main
9,,,,consumption,classical_fd,-0.0345667633259274,bca_variables,,u_bc,Main
9,,,,hours_worked,classical_fd,0.110680297087729,bca_variables,,u_bc,Main
9,,,,unemployment,classical_fd,0.00328696124409801,bca_variables,,u_bc,Main
9,,,,labor_share,classical_fd,-0.179837580101822,bca_variables,,u_bc,Main
9,,,,interest,classical_fd,-0.038729097231789,bca_variables,,u_bc,Main
9,,,,inflation,classical_fd,0.00945225323975446,bca_variables,,u_bc,Main
9,,,,productivity,classical_fd,0.213691064776646,bca_variables,,u_bc,Main
9,,,,TFP,classical_fd,0.0853357041778749,bca_variables,,u_bc,Main
10,,,,output,classical_fd,0.182797363405277,bca_variables,,u_bc,Main
10,,,,investment,classical_fd,1.08020402296114,bca_variables,,u_bc,Main
10,,,,consumption,classical_fd,-0.0029324267081826,bca_variables,,u_bc,Main
10,,,,hours_worked,classical_fd,0.176225591236909,bca_variables,,u_bc,Main
10,,,,unemployment,classical_fd,-0.0398297871652489,bca_variables,,u_bc,Main
10,,,,labor_share,classical_fd,-0.153011709847321,bca_variables,,u_bc,Main
10,,,,interest,classical_fd,-0.0176082535731949,bca_variables,,u_bc,Main
10,,,,inflation,classical_fd,0.0172545038850377,bca_variables,,u_bc,Main
10,,,,productivity,classical_fd,0.175406367775859,bca_variables,,u_bc,Main
10,,,,TFP,classical_fd,0.0722003500533144,bca_variables,,u_bc,Main
11,,,,output,classical_fd,0.216765010798691,bca_variables,,u_bc,Main
11,,,,investment,classical_fd,1.16413216534633,bca_variables,,u_bc,Main
11,,,,consumption,classical_fd,0.0207683860257348,bca_variables,,u_bc,Main
11,,,,hours_worked,classical_fd,0.220365487512993,bca_variables,,u_bc,Main
11,,,,unemployment,classical_fd,-0.0723879013796101,bca_variables,,u_bc,Main
11,,,,labor_share,classical_fd,-0.120056572970758,bca_variables,,u_bc,Main
11,,,,interest,classical_fd,0.000706042141971652,bca_variables,,u_bc,Main
11,,,,inflation,classical_fd,0.0232707181228547,bca_variables,,u_bc,Main
11,,,,productivity,classical_fd,0.133771319006747,bca_variables,,u_bc,Main
11,,,,TFP,classical_fd,0.0661358858813473,bca_variables,,u_bc,Main
12,,,,output,classical_fd,0.233034070139364,bca_variables,,u_bc,Main
12,,,,investment,classical_fd,1.1695833252486,bca_variables,,u_bc,Main
12,,,,consumption,classical_fd,0.0369273286653208,bca_variables,,u_bc,Main
12,,,,hours_worked,classical_fd,0.245328377184808,bca_variables,,u_bc,Main
12,,,,unemployment,classical_fd,-0.0946373629704772,bca_variables,,u_bc,Main
12,,,,labor_share,classical_fd,-0.0840604492046672,bca_variables,,u_bc,Main
12,,,,interest,classical_fd,0.0157904844775412,bca_variables,,u_bc,Main
12,,,,inflation,classical_fd,0.0276586710892396,bca_variables,,u_bc,Main
12,,,,productivity,classical_fd,0.0921178911696985,bca_variables,,u_bc,Main
12,,,,TFP,classical_fd,0.064852687015356,bca_variables,,u_bc,Main
13,,,,output,classical_fd,0.234466283466321,bca_variables,,u_bc,Main
13,,,,investment,classical_fd,1.11355095797397,bca_variables,,u_bc,Main
13,,,,consumption,classical_fd,0.0462633652126861,bca_variables,,u_bc,Main
13,,,,hours_worked,classical_fd,0.253955897347997,bca_variables,,u_bc,Main
13,,,,unemployment,classical_fd,-0.107419090154063,bca_variables,,u_bc,Main
13,,,,labor_share,classical_fd,-0.047688089767669,bca_variables,,u_bc,Main
13,,,,interest,classical_fd,0.0275399367695749,bca_variables,,u_bc,Main
13,,,,inflation,classical_fd,0.0306271069463934,bca_variables,,u_bc,Main
13,,,,productivity,classical_fd,0.0528236554651183,bca_variables,,u_bc,Main
13,,,,TFP,classical_fd,0.0663826554078597,bca_variables,,u_bc,Main
14,,,,output,classical_fd,0.224015211270581,bca_variables,,u_bc,Main
14,,,,investment,classical_fd,1.012421110141,bca_variables,,u_bc,Main
14,,,,consumption,classical_fd,0.0496678661895567,bca_variables,,u_bc,Main
14,,,,hours_worked,classical_fd,0.249302611916049,bca_variables,,u_bc,Main
14,,,,unemployment,classical_fd,-0.111918875300183,bca_variables,,u_bc,Main
14,,,,labor_share,classical_fd,-0.0130992115697937,bca_variables,,u_bc,Main
14,,,,interest,classical_fd,0.0360809425445365,bca_variables,,u_bc,Main
14,,,,inflation,classical_fd,0.0323932490678215,bca_variables,,u_bc,Main
14,,,,productivity,classical_fd,0.0174602601775325,bca_variables,,u_bc,Main
14,,,,TFP,classical_fd,0.0691901893875563,bca_variables,,u_bc,Main
15,,,,output,classical_fd,0.204530725000968,bca_variables,,u_bc,Main
15,,,,investment,classical_fd,0.881067252997407,bca_variables,,u_bc,Main
15,,,,consumption,classical_fd,0.0481036695383336,bca_variables,,u_bc,Main
15,,,,hours_worked,classical_fd,0.234385020964152,bca_variables,,u_bc,Main
15,,,,unemployment,classical_fd,-0.109494201084206,bca_variables,,u_bc,Main
15,,,,labor_share,classical_fd,0.0180705449552283,bca_variables,,u_bc,Main
15,,,,interest,classical_fd,0.0416962464161825,bca_variables,,u_bc,Main
15,,,,inflation,classical_fd,0.0331629144358584,bca_variables,,u_bc,Main
15,,,,productivity,classical_fd,-0.0130518541547428,bca_variables,,u_bc,Main
15,,,,TFP,classical_fd,0.0721645514497141,bca_variables,,u_bc,Main
16,,,,output,classical_fd,0.178642903954189,bca_variables,,u_bc,Main
16,,,,investment,classical_fd,0.732403914244785,bca_variables,,u_bc,Main
16,,,,consumption,classical_fd,0.0425404010713596,bca_variables,,u_bc,Main
16,,,,hours_worked,classical_fd,0.212030628601351,bca_variables,,u_bc,Main
16,,,,unemployment,classical_fd,-0.101553461412639,bca_variables,,u_bc,Main
16,,,,labor_share,classical_fd,0.0446958885697974,bca_variables,,u_bc,Main
16,,,,interest,classical_fd,0.044762973404817,bca_variables,,u_bc,Main
16,,,,inflation,classical_fd,0.0331223524740814,bca_variables,,u_bc,Main
16,,,,productivity,classical_fd,-0.0383033329425176,bca_variables,,u_bc,Main
16,,,,TFP,classical_fd,0.0745607651945281,bca_variables,,u_bc,Main
17,,,,output,classical_fd,0.148697121904003,bca_variables,,u_bc,Main
17,,,,investment,classical_fd,0.577226354830908,bca_variables,,u_bc,Main
17,,,,consumption,classical_fd,0.0339127149171539,bca_variables,,u_bc,Main
17,,,,hours_worked,classical_fd,0.184790844676888,bca_variables,,u_bc,Main
17,,,,unemployment,classical_fd,-0.0894727715525415,bca_variables,,u_bc,Main
17,,,,labor_share,classical_fd,0.0661191970708786,bca_variables,,u_bc,Main
17,,,,interest,classical_fd,0.0457045175929583,bca_variables,,u_bc,Main
17,,,,inflation,classical_fd,0.0324367660468644,bca_variables,,u_bc,Main
17,,,,productivity,classical_fd,-0.0582735515723693,bca_variables,,u_bc,Main
17,,,,TFP,classical_fd,0.0759244841250267,bca_variables,,u_bc,Main
18,,,,output,classical_fd,0.116721208937028,bca_variables,,u_bc,Main
18,,,,investment,classical_fd,0.424220880893753,bca_variables,,u_bc,Main
18,,,,consumption,classical_fd,0.0230928512585693,bca_variables,,u_bc,Main
18,,,,hours_worked,classical_fd,0.154894308706018,bca_variables,,u_bc,Main
18,,,,unemployment,classical_fd,-0.0745393582804091,bca_variables,,u_bc,Main
18,,,,labor_share,classical_fd,0.0820909248325327,bca_variables,,u_bc,Main
18,,,,interest,classical_fd,0.0449545793859827,bca_variables,,u_bc,Main
18,,,,inflation,classical_fd,0.0312515210140437,bca_variables,,u_bc,Main
18,,,,productivity,classical_fd,-0.0732274327034897,bca_variables,,u_bc,Main
18,,,,TFP,classical_fd,0.0760196186373387,bca_variables,,u_bc,Main
19,,,,output,classical_fd,0.0844137119394665,bca_variables,,u_bc,Main
19,,,,investment,classical_fd,0.280075196337415,bca_variables,,u_bc,Main
19,,,,consumption,classical_fd,0.0108723515374765,bca_variables,,u_bc,Main
19,,,,hours_worked,classical_fd,0.124226404072028,bca_variables,,u_bc,Main
19,,,,unemployment,classical_fd,-0.05791410437709,bca_variables,,u_bc,Main
19,,,,labor_share,classical_fd,0.0926999536867689,bca_variables,,u_bc,Main
19,,,,interest,classical_fd,0.0429313740555403,bca_variables,,u_bc,Main
19,,,,inflation,classical_fd,0.0296941163428462,bca_variables,,u_bc,Main
19,,,,productivity,classical_fd,-0.0836293504340322,bca_variables,,u_bc,Main
19,,,,TFP,classical_fd,0.0747670666437268,bca_variables,,u_bc,Main
20,,,,output,classical_fd,0.0531465578430829,bca_variables,,u_bc,Main
20,,,,investment,classical_fd,0.149645836382319,bca_variables,,u_bc,Main
20,,,,consumption,classical_fd,-0.00204991796123406,bca_variables,,u_bc,Main
20,,,,hours_worked,classical_fd,0.0943263837170798,bca_variables,,u_bc,Main
20,,,,unemployment,classical_fd,-0.040608308392354,bca_variables,,u_bc,Main
20,,,,labor_share,classical_fd,0.0983005925905678,bca_variables,,u_bc,Main
20,,,,interest,classical_fd,0.0400200345258368,bca_variables,,u_bc,Main
20,,,,inflation,classical_fd,0.0278759333903626,bca_variables,,u_bc,Main
20,,,,productivity,classical_fd,-0.0900719781828109,bca_variables,,u_bc,Main
20,,,,TFP,classical_fd,0.0721964680858263,bca_variables,,u_bc,Main
21,,,,output,classical_fd,0.0239782674728659,bca_variables,,u_bc,Main
21,,,,investment,classical_fd,0.0361574959058992,bca_variables,,u_bc,Main
21,,,,consumption,classical_fd,-0.0150748953498334,bca_variables,,u_bc,Main
21,,,,hours_worked,classical_fd,0.0663971402988059,bca_variables,,u_bc,Main
21,,,,unemployment,classical_fd,-0.0234714114559038,bca_variables,,u_bc,Main
21,,,,labor_share,classical_fd,0.0994409612336397,bca_variables,,u_bc,Main
21,,,,interest,classical_fd,0.0365614721609394,bca_variables,,u_bc,Main
21,,,,inflation,classical_fd,0.0258934962091126,bca_variables,,u_bc,Main
21,,,,productivity,classical_fd,-0.0932179164544469,bca_variables,,u_bc,Main
21,,,,TFP,classical_fd,0.0684099419239739,bca_variables,,u_bc,Main
22,,,,output,classical_fd,-0.00232481434132528,bca_variables,,u_bc,Main
22,,,,investment,classical_fd,-0.058581159201787,bca_variables,,u_bc,Main
22,,,,consumption,classical_fd,-0.0277063473652438,bca_variables,,u_bc,Main
22,,,,hours_worked,classical_fd,0.0413245049817539,bca_variables,,u_bc,Main
22,,,,unemployment,classical_fd,-0.00718745399696138,bca_variables,,u_bc,Main
22,,,,labor_share,classical_fd,0.0967963593583889,bca_variables,,u_bc,Main
22,,,,interest,classical_fd,0.0328462530029838,bca_variables,,u_bc,Main
22,,,,inflation,classical_fd,0.0238292897796004,bca_variables,,u_bc,Main
22,,,,productivity,classical_fd,-0.0937524221138318,bca_variables,,u_bc,Main
22,,,,TFP,classical_fd,0.0635555070257861,bca_variables,,u_bc,Main
23,,,,output,classical_fd,-0.0252611663331502,bca_variables,,u_bc,Main
23,,,,investment,classical_fd,-0.133955310237835,bca_variables,,u_bc,Main
23,,,,consumption,classical_fd,-0.0395502400620477,bca_variables,,u_bc,Main
23,,,,hours_worked,classical_fd,0.01970387398363,bca_variables,,u_bc,Main
23,,,,unemployment,classical_fd,0.00772142098540223,bca_variables,,u_bc,Main
23,,,,labor_share,classical_fd,0.091110008183189,bca_variables,,u_bc,Main
23,,,,interest,classical_fd,0.0291123274213856,bca_variables,,u_bc,Main
23,,,,inflation,classical_fd,0.0217523240033019,bca_variables,,u_bc,Main
23,,,,productivity,classical_fd,-0.0923459292102556,bca_variables,,u_bc,Main
23,,,,TFP,classical_fd,0.0578077807897837,bca_variables,,u_bc,Main
24,,,,output,classical_fd,-0.0445623032976918,bca_variables,,u_bc,Main
24,,,,investment,classical_fd,-0.190322959550526,bca_variables,,u_bc,Main
24,,,,consumption,classical_fd,-0.0503108606845112,bca_variables,,u_bc,Main
24,,,,hours_worked,classical_fd,0.00187230073026278,bca_variables,,u_bc,Main
24,,,,unemployment,classical_fd,0.0208858322869716,bca_variables,,u_bc,Main
24,,,,labor_share,classical_fd,0.0831426061425826,bca_variables,,u_bc,Main
24,,,,interest,classical_fd,0.0255456807500617,bca_variables,,u_bc,Main
24,,,,inflation,classical_fd,0.0197186412991686,bca_variables,,u_bc,Main
24,,,,productivity,classical_fd,-0.0896253406894509,bca_variables,,u_bc,Main
24,,,,TFP,classical_fd,0.0513538936290582,bca_variables,,u_bc,Main
25,,,,output,classical_fd,-0.0601581733536196,bca_variables,,u_bc,Main
25,,,,investment,classical_fd,-0.228801241084646,bca_variables,,u_bc,Main
25,,,,consumption,classical_fd,-0.059784156619681,bca_variables,,u_bc,Main
25,,,,hours_worked,classical_fd,-0.0120557019880548,bca_variables,,u_bc,Main
25,,,,unemployment,classical_fd,0.0320756848434121,bca_variables,,u_bc,Main
25,,,,labor_share,classical_fd,0.0736313426194133,bca_variables,,u_bc,Main
25,,,,interest,classical_fd,0.0222831502991296,bca_variables,,u_bc,Main
25,,,,inflation,classical_fd,0.0177719215418038,bca_variables,,u_bc,Main
25,,,,productivity,classical_fd,-0.0861532153331595,bca_variables,,u_bc,Main
25,,,,TFP,classical_fd,0.0443830755023235,bca_variables,,u_bc,Main
26,,,,output,classical_fd,-0.0721413128298435,bca_variables,,u_bc,Main
26,,,,investment,classical_fd,-0.251065375534665,bca_variables,,u_bc,Main
26,,,,consumption,classical_fd,-0.0678488428134512,bca_variables,,u_bc,Main
26,,,,hours_worked,classical_fd,-0.0221503622812168,bca_variables,,u_bc,Main
26,,,,unemployment,classical_fd,0.0411835801132705,bca_variables,,u_bc,Main
26,,,,labor_share,classical_fd,0.0632583919755345,bca_variables,,u_bc,Main
26,,,,interest,classical_fd,0.0194167876519791,bca_variables,,u_bc,Main
